proof	cbmc_time_s	wall_s	status
proof_v16_expired_backing_yields_zero_realizable_support_after_expiry	492.82355	496	PASS
proof_v16_liquidation_preflight_accepts_only_fully_durable_residual	225.46646	229	PASS
proof_v16_liquidation_preflight_routes_insufficient_residual_capacity_to_recovery	187.61598	193	PASS
proof_v16_live_market_shape_rejects_long_short_oi_mismatch	73.07733	77	PASS
proof_v16_live_positive_kf_delta_without_source_rejects	63.635815	71	PASS
proof_v16_live_residual_booking_to_loss_bearing_side_is_bounded_and_exact	28.216345	32	PASS
proof_v16_locked_trade_margin_gate_cannot_use_positive_pnl_credit	8.148745	11	PASS
proof_v16_loss_senior_fee_ordering_consumes_kf_loss_before_fee	55.97415	62	PASS
proof_v16_loss_stale_trade_scope_allows_only_unrelated_current_assets	0.023949564	2	PASS
proof_v16_mark_asset_drain_only_is_value_neutral_and_epoch_scoped	184.01514	189	PASS
proof_v16_mul_div_ceil_u256_is_floor_plus_remainder_indicator	44.778767	47	PASS
proof_v16_mul_div_floor_u256_matches_small_reference	20.121162	23	PASS
proof_v16_mutable_view_compacts_persisted_source_domain_tail	48.032955	52	PASS
proof_v16_negative_pnl_settlement_consumes_principal_before_residual	38.74743	43	PASS
proof_v16_new_unfunded_domain_cannot_consume_shared_insurance	62.93448	68	PASS
proof_v16_nonflat_withdraw_rejects_before_value_exit	317.4264	323	PASS
proof_v16_nontrivial_public_profile_satisfies_symbolic_mm_envelope	15.904394	19	PASS
proof_v16_open_source_claim_exposure_blocks_convert	171.10818	175	PASS
proof_v16_pending_domain_loss_barrier_allows_only_same_side_reductions	0.4247438	2	PASS
proof_v16_pending_domain_loss_barrier_detects_touching_position_changes	22.839457	27	PASS
proof_v16_permissionless_recovery_crank_is_accounting_neutral	128.68018	139	PASS
proof_v16_position_delta_risk_classifier_matches_abs_exposure_change	0.48547655	3	PASS
proof_v16_positive_kf_delta_creates_source_claim_bound	208.02104	215	PASS
proof_v16_positive_pnl_requires_full_source_claim_attribution	1.1908767	3	PASS
proof_v16_price_move_cap_rejects_before_accrual_mutation	59.021645	63	PASS
proof_v16_public_account_backing_fee_split_preserves_senior_stock	417.79453	424	PASS
proof_v16_public_backing_provider_earnings_credit_uses_only_vault_slack	143.84007	148	PASS
proof_v16_public_backing_provider_earnings_withdraw_debits_only_earned_vault	308.9059	314	PASS
proof_v16_public_counterparty_backing_deposit_moves_vault_and_scaled_source_state	455.41653	460	PASS
proof_v16_public_counterparty_backing_deposit_refills_expired_receivable_bucket	506.431	511	PASS
proof_v16_public_counterparty_backing_withdraw_debits_vault_and_scaled_source_state	321.8327	327	PASS
proof_v16_public_counterparty_backing_withdraw_rejects_underbacking_source_claims	327.44443	332	PASS
proof_v16_public_counterparty_lien_consume_creates_receivable_without_value_movement	372.8648	377	PASS
proof_v16_public_counterparty_lien_create_moves_fresh_to_valid_without_value_movement	196.65417	201	PASS
proof_v16_public_counterparty_lien_release_restores_unliened_backing_without_value_movement	409.73398	414	PASS
proof_v16_public_credit_domain_insurance_budget_is_value_neutral_and_backed	138.53572	143	PASS
proof_v16_public_domain_insurance_spent_setter_preserves_budget_total_and_value	161.8201	167	PASS
proof_v16_public_domain_insurance_spent_setter_rejects_invalid_without_mutation	137.25438	142	PASS
proof_v16_public_domain_insurance_withdraw_capacity_matches_budget_reserved_and_vault_min	17.289616	21	PASS
proof_v16_public_domain_insurance_withdraw_is_budget_scoped_and_value_conserving	171.66039	176	PASS
proof_v16_public_finalize_side_reset_rejects_each_blocker_without_mutation	20.23774	24	PASS
proof_v16_public_finalize_side_reset_success_is_value_neutral	23.878792	27	PASS
proof_v16_public_insurance_lien_consume_debits_only_domain_insurance	466.59476	471	PASS
proof_v16_public_insurance_lien_create_moves_reserved_credit_to_valid_lien	262.0252	267	PASS
proof_v16_public_insurance_lien_impair_moves_valid_to_impaired_without_value_movement	371.15897	375	PASS
proof_v16_public_insurance_lien_release_restores_reserved_credit_without_value_movement	447.5991	452	PASS
proof_v16_public_insurance_reserve_encumbers_budget_without_value_movement	284.4102	289	PASS
proof_v16_public_insurance_reserve_rejects_unfunded_domain	187.61258	192	PASS
